,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,Training Time (s)
Linear Regression,5927.757131583038,24232.518205654032,4846.559489427347,19583.861305550483,0.8993950310789082,-4.388948641769843,0.0035381317138671875
Ridge Regression,5927.75713158304,24232.518416028157,4846.55950689289,19583.86156138029,0.8993950310789082,-4.388948735337944,0.004648685455322266
Lasso Regression,5927.758504755256,24189.22654082001,4846.89097714937,19542.478999893396,0.8993949844683736,-4.369711007201821,0.005043506622314453
Random Forest,258.21307149071043,23195.98611317807,164.41686666666686,20743.15552631579,0.9998091047705605,-3.937790154854304,0.21834588050842285
Gradient Boosting,208.70065880381793,22657.574041179196,129.59682083942175,20126.386770329467,0.9998752943105205,-3.711224122734248,0.10486912727355957
XGBoost,74.92302364865056,22824.06309139545,43.74150085449219,20335.091796875,0.9999839067459106,-3.780714988708496,0.43987584114074707
LSTM,16294.168772907688,4718.890547575776,10395.1982421875,3925.4111328125,0.2398434281349182,0.7956442832946777,8.034263372421265
